Symbol,Date,Exchange,Open,High,Low,Close,Prev High,Prev Low,Prev Close,GAP%,ATR14,Outstanding Shares,Market Cap,Volume(-1),Volume(-2),Volume(-3),Avg Prev 3 Day Volume,PM Volume,Daily Volume,Volume Open to HOD,Volume HOD to Close,PM Trades,No. Trades,PM Volume / Avg Prev 3 Day Volume,Daily Volume / Avg Prev 3 Day Volume,PM Supply Rotation,Daily Supply Rotation,Supply Rotations Open to HOD,Supply Rotations HOD to Close,Open Time,Time HOD,Time LOD,Minutes Open to HOD,Minutes Open to LOD,Time HOD - LOD,Broke PM High,Broke PM Low,Day
NAOV,2020-09-22,NASDAQ,10.9,14.8,10.7,12.0,6.1,5.6,5.9,84.81,9.45,10568088.0,6233058.3,71263.0,403073.0,91424.0,188586.67,1695701.5,22001238.9,14827322.8,4653215.1,3029.8,40516.5,8.99,116.66,0.16,2.08,1.4,0.44,09:30:00,13:57:00,08:00:00,267.0,-90.0,357.0,True,False,1
SPI,2020-09-23,NASDAQ,3.54,46.67,3.3,14.0,1.09,0.97,1.05,237.95,45.7,14621125.0,15315628.44,171143.0,50037.0,86185.0,102455.0,23639796.0,348301832.0,272184363.0,26248090.0,77253.0,1708149.0,230.73,3399.56,1.62,23.82,18.62,1.8,09:30:00,14:05:00,07:58:00,275.0,-92.0,367.0,True,False,2
OEG,2020-09-24,NASDAQ,0.94,1.23,0.62,0.68,0.54,0.5,0.52,82.52,0.78,30420685.0,15666652.78,67226.0,38160.0,67544.0,57643.33,5530361.0,32548503.0,1397004.0,24071072.0,11887.0,66235.0,95.94,564.65,0.18,1.07,0.05,0.79,09:30:00,08:33:00,08:00:00,-57.0,-90.0,33.0,False,False,3
SUNW,2020-09-24,NASDAQ,4.6,8.5,3.3,3.93,4.57,0.73,1.16,296.55,7.98,16628992.0,19289630.72,110521009.0,2403821.0,2141703.0,38355511.0,23624557.0,267806139.0,43567876.0,183526834.0,64311.0,963678.0,0.62,6.98,1.42,16.1,2.62,11.04,09:30:00,09:56:00,04:00:00,26.0,-330.0,356.0,True,False,3
POLA,2020-09-24,NASDAQ,4.16,6.56,3.21,3.69,3.8,1.69,1.92,116.67,5.14,11375681.0,21841307.52,25781517.0,252184.0,437211.0,8823637.33,8890922.0,72516670.0,6852559.0,50817474.0,25715.0,287796.0,1.01,8.22,0.78,6.37,0.6,4.47,09:30:00,09:42:00,04:13:00,12.0,-317.0,329.0,True,False,3
SPI,2020-09-24,NASDAQ,27.1,28.71,12.5,13.1,46.67,3.3,14.0,93.57,45.7,14621125.0,204695750.0,348301832.0,171143.0,50037.0,116174337.33,4577580.0,29555020.0,,20859052.0,20969.0,219540.0,0.04,0.25,0.31,2.02,,1.43,09:30:00,09:05:00,15:18:00,-25.0,348.0,-373.0,False,True,3
CBAT,2020-09-25,NASDAQ,3.5,3.75,1.94,2.45,1.95,0.98,1.35,159.26,3.08,65149690.0,87952081.5,89551177.0,12504557.0,997616.0,34351116.67,32557692.0,198508979.0,,156381827.0,97069.0,594742.0,0.95,5.78,0.5,3.05,,2.4,09:30:00,07:45:00,10:32:00,-105.0,62.0,-167.0,False,True,4
TATT,2020-09-25,NASDAQ,7.25,7.41,5.0,5.82,4.04,4.0,4.02,80.35,3.54,8874696.0,35676277.92,2918604.0,860.0,1107.0,973523.67,1665706.0,15883572.0,,12727254.0,5860.0,79859.0,1.71,16.32,0.19,1.79,,1.43,09:30:00,04:11:00,14:16:00,-319.0,286.0,-605.0,False,True,4
SGBX,2020-09-25,NASDAQ,2.98,3.3,2.05,2.17,1.78,1.51,1.52,96.05,1.79,8596189.0,13066207.28,610468.0,157202.0,176995.0,314888.33,9902565.0,54212324.0,12388405.0,27629547.0,28313.0,187628.0,31.45,172.16,1.15,6.31,1.44,3.21,09:30:00,07:09:00,07:00:00,-141.0,-150.0,9.0,False,False,4
HUSA,2020-09-29,NYSE,3.05,6.36,2.75,2.98,1.17,1.06,1.09,179.36,5.5,6960576.0,7599556.88,224979.0,718694.0,217982.0,387218.33,9665800.0,146037345.0,29296951.0,98790117.0,33594.0,530995.0,24.96,377.14,1.39,20.98,4.21,14.19,09:30:00,10:19:00,07:00:00,49.0,-150.0,199.0,True,False,1
ITRM,2020-09-30,NASDAQ,24.6,36.6,15.3,15.75,9.75,9.2,9.64,155.13,27.75,21239093.0,13652488.98,79254.0,62939.0,69901.0,70698.0,2343401.27,14257698.0,372444.87,11092657.07,4404.67,32366.07,33.15,201.67,0.11,0.67,0.02,0.52,09:30:00,09:45:00,07:00:00,15.0,-150.0,165.0,True,False,2
